database,cpu_percent,memory_used_mb,memory_total_mb,database_size_mb,is_observable,notes,timestamp
memgraph,0.0,14099.22,16076.87,,True,Host client-side observable resource snapshot,2026-08-25T11:05:06.712920+00:00
memgraph,31.5,14301.5,16076.87,,True,Host client-side observable resource snapshot,2026-08-25T11:13:50.114901+00:00
